"ID"	"ISBN"	"Price"	"Title"	"Teaser"	"Auth_1"	"Auth_2"	"Auth_3"	"Review"	"Reviewer"	"Issue_date"	"Issue"	"Record_type"	"Sub_headline"	"Headline"	"Publisher"	"Pub_date"	"Categories"	"SubCategories"	"Metadata"	"Image"	"Image2"	"Image3"	"Image4"	"Image5"	"Audio1"	"Link1"	"Link2"
6318	9780813167718	"$45.00"	"Kentucky Rebel Town: The Civil War Battles of Cynthiana and Harrison County"		"Penn, William A."					"Fall 2016"	"2016-11-1"	"Annotation"			"University Press of Kentucky"		"Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/PennKentuckyRebelTown.jpg"">"						"<a href="" http://www.kentuckypress.com/live/title_detail.php?titleid=4710#.WBDJ_2cUVl8"">Click here for more information</a>"	
6326	9781476667164	"$39.95"	"The 18th New York Infantry in the Civil War: A History and Roster"		"Conklin, Ryan A."					"Fall 2016"	"2016-11-1"	"Annotation"			"McFarland"		"Regiment"			"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ConklinNewYorkInfantry.jpg"">"						"<a href="" http://www.mcfarlandbooks.com/book-2.php?id=978-1-4766-6716-4"">Click here for more information</a>"	
6316	81611213157	"$14.95"	"Hell Itself: The Battle of the Wilderness, May 5-7, 1864"		"Mackowski, Chris"					"Fall 2016"	"2016-11-1"	"Annotation"			"Savas Beatie"		"Military"			"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MackowskiHellItself.jpg"">"						"<a href="" http://www.savasbeatie.com/books/book_page.php?"">Click here for more information</a>"	
6330	1633882454	"$28.00"	"Battle of Wills: Ulysses S. Grant, Robert E. Lee, and the Last Year of the Civil War"		"Johnson, David Alan"					"Fall 2016"	"2016-11-1"	"Annotation"			"Prometheus Books"		"Biographies;Military;Politics"			"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JohnsonBattleofWills.jpg"">"						"<a href=""https://www.amazon.com/Battle-Wills-Ulysses-Grant-Robert/dp/1633882454/ref=sr_1_1?ie=UTF8&qid=1477496885&sr=8-1&keywords=battle+of+wills"">Click here for more information</a>"	
6315	9781467135528	"$21.99"	"Lenawee County and the Civil War"		"Lennard, Ray"					"Fall 2016"	"2016-11-1"	"Annotation"			"Arcadia"		"Military;Politics"			"<img hspace=6 align=LEFT width=161 height=236 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/LennardLenaweeCounty.jpg"">"						"<a href=""https://www.arcadiapublishing.com/Products/9781467135528"">Click here for more information</a>"	
6317	9781631491290	"$26.95"	"The Rest I Will Kill: William Tillman and the Unforgettable Story of How a Free Black Man Refused to Become a Slave"		"McGinty, Brian"					"Fall 2016"	"2016-11-1"	"Annotation"			"Liveright"		"Biographies;Politics;Slavery"			"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/McGintyRestIWillKill.jpg"">"						"<a href=""http://books.wwnorton.com/books/detail.aspx?ID=4294990767"">Click here for more information</a>"	
6387	9780788456497	"$29.50"	"""If I am Alive Next Summer:"" The Civil War Letters of Captain Charles Robinson Johnson of the 16th Massachusetts Infantry, ""The Iron Sixteenth"""		"Eisenberg, Albert C."	"Hammerson, Michael"				"Winter 2017"	"2017-2-1"	"Annotation"			"Heritage"		"Battles;Military"			"<img hspace=6 align=LEFT width=161 height=254 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/EisenbergIfIAmAliveNextSummer.jpg"">"						"<a href=""http://heritagebooks.com/mm5/merchant.mvc?Screen=PROD&Store_Code=HBI&Product_Code=101-E5649&Category_Code="">Click here for more information</a>"	
6430	9780807163726	"$45.00"	"Designing Gotham: West Point Enginners and the Rise of Modern New York, 1817-1898"		"Logel, Jon Scott"					"Spring 2017"	"2017-5-1"	"Annotation"			"LSU Press"		"Politics;Science;Social_History;Technology"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/LogelDesigningGotham.jpg"">"						"<a href=""http://lsupress.org/books/detail/designing-gotham/"">Click here for more information</a>"	
6448	9780807163146	"$42.50"	"Extreme Civil War: Guerilla Warfare, Environment, and Race on the Trans-Mississippi Frontier"		"Stith, Matthew M."					"Spring 2017"	"2017-5-1"	"Annotation"			"LSU Press"		"Military;Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/stithextreme.jpg"">"						"<a href=""http://lsupress.org/books/detail/extreme-civil-war/  "">Click here for more information</a>"	
6380	9780807160749	"$38.00"	"George Washington Carver: A Life"		"Vella, Christina"					"Winter 2017"	"2017-2-1"	"Annotation"			"LSU Press"		"Biographies"			"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/VellaGeorgeWashingtonCarver.jpg"">"						"<a href=""http://lsupress.org/books/detail/george-washington-carver/"">Click here for more information</a>"	
